dataset,injection_rate,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
CybersecIoT,0.3,2025,0.9213513422479707,0.9139325091881055,0.9176269310119256,27354,2335,2576,241,1012.0
ViennaLine,0.05,42,0.8616626311541565,0.8144644491913335,0.8373990116871912,10676,1714,2432,718,2158.6
ViennaLine,0.05,123,0.7561901617695609,0.69896246566982,0.7264509990485253,9162,2954,3946,992,1901.6
ViennaLine,0.05,2025,0.7697336166040203,0.7186451022276472,0.7433125542491913,9420,2818,3688,870,1828.1
ViennaLine,0.1,42,0.802055729543082,0.7619483541213716,0.7814877843632024,19976,4930,6241,1311,1905.2
ViennaLine,0.1,123,0.7885421706176423,0.7460426440858985,0.7667039062346876,19559,5245,6658,1413,1875.5
ViennaLine,0.1,2025,0.845320866299049,0.8069191745813785,0.8256737505610523,21155,3871,5062,1191,2011.1
ViennaLine,0.15,42,0.7818332184700206,0.721176829578396,0.7502810809380829,28361,7914,10965,3051,2243.4
ViennaLine,0.15,123,0.7849447885806625,0.741112749834715,0.7623992884796484,29145,7985,10181,2196,2023.5
ViennaLine,0.15,2025,0.7564772509644059,0.7030971876112495,0.7288111021785257,27650,8901,11676,2775,2999.6
ViennaLine,0.2,42,0.7815068358800338,0.7598359874129875,0.7705190686160749,39842,11139,12593,1454,2837.9
ViennaLine,0.2,123,0.7967561883190423,0.7513683608276914,0.7733969357007549,39398,10050,13037,2987,2775.6
ViennaLine,0.2,2025,0.7847689478895152,0.7407075426718794,0.7621019170770952,38839,10652,13596,2944,2573.2
ViennaLine,0.25,42,0.7864177717712645,0.7102404491639204,0.746390463287344,46552,12643,18992,6349,3098.6
ViennaLine,0.25,123,0.4632194472616633,0.445975222751129,0.4544338038679187,29231,33873,36313,2440,2664.4
